ID,OUTCOME
303713,1
141107,1
447316,1
196066,1
179947,1
246300,1
182549,0
304827,1
591944,1
142876,1
39397,1
445679,1
605134,1
208970,1
143299,1
198060,1
222808,1
796912,1
309406,1
206092,1
121864,1
453905,1
150341,1
384578,1
298074,0
862202,1
747637,1
438387,1
479943,1
433621,1
231068,1
192,1
3264,1
211300,1
3559,1
865863,1
49560,1
445364,1
900068,1
306028,1
185943,1
252156,1
100202,0
51349,1
239813,1
118555,1
781829,1
320998,1
489559,1
352687,1
581445,1
459677,1
91360,1
96404,1
635499,1
277024,1
670445,1
949010,1
218511,1
311673,1
290251,1
388081,1
320940,1
72973,1
773868,1
276638,1
132294,1
230964,1
58061,1
713852,1
458239,1
611295,1
28592,1
761461,1
365595,1
985643,1
261931,1
116049,1
77675,1
990030,1
91560,1
567131,1
76281,1
257917,1
147855,1
467581,1
209364,1
928104,1
84466,1
46560,1
554413,1
599762,1
908314,1
683866,1
263899,1
20028,1
284335,1
479848,1
665280,1
127128,1
711926,1
238915,1
313173,1
472996,1
134115,1
121,1
573224,1
5415,1
167285,1
25342,1
264346,1
430027,1
323593,1
110520,1
459797,1
47782,1
18105,1
645894,1
57827,1
48371,1
234297,1
762885,1
408569,1
842565,1
748350,1
51301,1
388577,1
58577,1
150473,1
434668,1
301885,1
181709,1
447807,1
45757,1
619400,1
723925,1
195611,1
827781,1
894399,1
711612,1
932752,1
658499,1
227185,1
134950,1
46382,1
243569,1
79263,1
236757,1
778228,1
351840,1
326692,1
362213,1
500992,1
57525,1
784370,1
245588,1
481489,1
819644,1
358632,1
95227,1
376859,1
118351,1
442871,1
91625,1
540701,1
747723,1
795127,1
386257,1
498504,1
845161,1
364832,1
161985,1
640579,1
36453,1
338151,1
82975,1
110957,1
476428,1
403586,1
88249,1
166961,1
847715,1
683639,1
154880,1
206229,1
155419,1
21931,1
600531,1
585215,1
308726,1
274115,1
579007,1
303310,1
820732,1
293345,1
458864,1
741932,1
213472,1
438738,1
67317,1
65027,1
717993,1
521522,1
118144,1
95934,1
17473,1
269249,1
642833,1
213907,1
472420,1
347004,1
79936,1
174040,1
378450,1
288411,1
448945,1
801206,1
537074,1
490970,1
558906,1
423243,1
999705,1
447388,1
9882,1
422993,1
553517,1
442681,1
556368,1
569447,1
88436,1
57836,1
362096,1
615737,1
792271,1
877146,1
706886,1
243080,1
794226,1
5418,1
905111,1
108,1
558295,1
245004,1
184208,1
39192,1
45850,1
404856,1
260245,1
371480,1
167290,1
326103,1
131273,1
974847,1
749400,1
277422,1
521047,1
33697,1
891892,1
45169,1
21591,1
421470,1
77326,1
902753,1
576683,1
658572,1
211090,1
1782,1
272967,1
247448,1
554449,1
1730,1
761797,1
933935,1
365153,1
451607,1
780972,1
57909,1
61931,1
64475,1
867532,1
802862,1
17945,1
329449,1
657816,1
722923,1
442398,1
714497,1
99331,1
252584,1
428608,1
226301,1
222758,1
722391,1
246063,1
237833,1
117331,1
337922,1
163019,1
812048,1
639814,1
222436,1
142670,1
469509,1
943360,1
1737,1
970177,1
514702,1
314036,1
657636,1
24253,1
682706,1
258263,1
1768,1
125715,1
980095,1
615078,1
552459,1
182184,1
351550,1
601072,1
76598,1
504060,1
408666,1
98059,1
581351,1
361170,1
795141,1
161969,1
46853,1
676777,1
212239,1
90307,1
421398,1
525019,1
181821,1
138548,1
94464,1
748892,1
312887,1
399794,1
942600,1
594345,1
339456,1
383004,1
25737,1
360634,1
520009,1
222960,1
95030,1
438010,1
64361,1
118501,1
625012,1
645845,1
189025,1
202348,1
101679,1
255479,1
429344,1
435918,1
380543,1
493537,1
46091,1
568791,1
310150,1
195492,1
195131,1
631194,1
683356,1
246930,1
362472,1
297324,1
884314,1
802322,1
384708,1
25603,1
89080,1
78868,1
63302,1
487118,1
516605,1
801858,1
285957,1
119862,1
343192,1
468409,1
618137,1
472147,1
343498,1
482959,1
289303,1
224847,1
746194,1
544463,1
309562,1
188594,1
679614,1
126138,1
417871,1
279284,1
304620,1
26655,1
29127,1
495883,1
568687,1
5367,1
982066,1
71995,1
181078,1
842595,1
269859,1
632101,1
143496,1
873040,1
947136,1
626518,1
215401,1
477764,1
966723,1
408436,1
236499,1
552055,1
4657,1
47070,1
978193,1
453005,1
343351,1
450930,1
566524,1
781682,1
107399,1
31408,1
939962,1
533031,1
806911,1
129400,1
573081,1
251545,1
475157,1
147277,1
102716,1
164108,1
322058,1
423394,1
61928,1
507851,1
79717,1
85042,1
17918,1
418449,1
521,1
181545,1
692089,1
952005,1
231076,1
475696,1
36278,1
19319,1
43730,1
95160,1
81065,1
111567,1
292946,1
267311,1
449593,1
7160,1
417600,1
548,1
318572,1
30657,1
24820,1
888356,1
151756,1
131931,1
493638,1
669430,1
622564,1
228171,1
869427,1
810883,1
900703,1
35141,1
85030,1
675541,1
128134,1
106156,1
391917,1
44221,1
338249,1
862498,1
471168,1
84954,1
243847,1
508592,1
645454,1
257069,1
433649,1
479270,1
21477,1
184356,1
235434,1
429980,1
26370,1
73961,1
915779,1
5331,1
849347,1
419493,1
565149,1
848474,1
777982,1
30530,1
261570,1
429769,1
21449,1
925287,1
621418,1
264317,1
636702,1
58991,1
476815,1
146156,1
85931,1
656836,1
95120,1
857339,1
791826,1
723356,1
823274,1
1055,1
315191,1
10186,1
481602,1
35454,1
315568,1
121807,1
615696,1
435525,1
139697,1
337190,1
621520,1
959314,1
355876,1
43297,1
9017,1
272,1
927540,1
12656,1
634045,1
134773,1
502597,1
359752,1
476284,1
972205,1
306565,1
737134,1
434571,1
548778,1
165599,1
383598,1
243546,1
291680,1
117105,1
572246,1
519840,1
431973,1
202147,1
214737,1
264132,1
580964,1
509341,1
166,1
459416,1
413144,1
982263,1
264562,1
134539,1
180353,1
921506,1
272819,1
36945,1
653472,1
367074,1
205368,1
490230,1
481281,1
335541,1
271833,1
629839,1
47846,1
335097,1
430045,1
159706,0
84312,1
322072,1
379053,1
333651,1
33852,1
99580,1
248271,1
14531,1
172681,1
450222,1
272613,1
784331,1
4023,1
434746,1
105134,1
577994,1
480225,1
210938,1
343281,1
16710,1
324413,1
670206,1
4660,1
262899,1
229280,1
125427,1
533180,1
841930,1
12222,1
4391,1
224748,1
500052,1
8618,1
464902,1
220365,1
2056,1
58638,1
932050,1
243893,1
891451,1
147631,1
272370,1
850365,1
912901,1
5950,1
96857,1
469039,1
534119,1
453196,1
142963,1
328561,1
208685,1
425646,1
950223,1
546930,1
891340,1
131155,1
269027,1
77356,1
838909,1
980478,1
587873,1
288816,1
718,1
868127,1
505113,1
165758,1
84459,1
459267,1
106972,1
47678,1
615005,1
612811,1
165370,1
270354,1
197839,1
525778,1
485922,1
852564,1
102174,1
321469,1
102653,1
15187,1
619689,1
614386,1
114404,1
62871,1
958299,1
257837,1
766680,1
283428,1
67072,1
691533,1
574223,1
71319,1
561578,1
771874,1
89996,1
495055,1
892686,1
393458,1
429093,1
662569,1
832195,1
314008,1
206298,1
14330,1
79219,1
8388,1
334385,1
622842,1
917162,1
